epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.7942,0.8013,2.8766,1.45105,0.4515,0.52883,0.51871,0.30775,0.97747,2.31852,1.46234,0.000276686,0.000276686,0.000276686
2,98.0251,0.60403,1.71986,1.27661,0.54941,0.56768,0.60468,0.40246,0.61969,1.70858,0.86535,0.000543376,0.000543376,0.000543376
3,121.527,0.54938,1.46401,1.23661,0.78099,0.78112,0.86894,0.73332,0.46285,1.08348,0.80561,0.000799071,0.000799071,0.000799071
4,145.25,0.51942,1.30255,1.19672,0.75952,0.79815,0.90667,0.81291,0.40154,1.00269,0.71356,0.00078352,0.00078352,0.00078352
5,168.831,0.4864,1.18418,1.17037,0.93979,0.87921,0.95991,0.90637,0.33356,0.64692,0.65015,0.000767026,0.000767026,0.000767026
6,192.041,0.4569,1.07277,1.14674,0.83002,0.79797,0.8778,0.75287,0.41423,0.99862,0.73196,0.000750533,0.000750533,0.000750533
7,215.186,0.42158,1.00683,1.12406,0.81396,0.77466,0.86506,0.71983,0.44956,1.04193,0.75314,0.00073404,0.00073404,0.00073404
8,238.387,0.39897,0.93397,1.09872,0.88945,0.88959,0.95174,0.87992,0.35597,0.63801,0.67867,0.000717546,0.000717546,0.000717546
9,261.597,0.38726,0.86769,1.09091,0.91679,0.89522,0.94659,0.90818,0.28237,0.59852,0.57706,0.000701053,0.000701053,0.000701053
10,284.855,0.37243,0.87163,1.08653,0.91956,0.91012,0.96246,0.92039,0.30838,0.55956,0.6319,0.000684559,0.000684559,0.000684559
11,308.216,0.36002,0.80302,1.07548,0.96515,0.93367,0.97668,0.94019,0.33434,0.43918,0.65186,0.000668066,0.000668066,0.000668066
12,331.339,0.34172,0.77674,1.05798,0.90957,0.89698,0.96419,0.91121,0.32974,0.57006,0.64338,0.000651573,0.000651573,0.000651573
13,354.398,0.34075,0.74799,1.05912,0.91085,0.88561,0.96854,0.93556,0.33154,0.56661,0.65186,0.000635079,0.000635079,0.000635079
14,377.435,0.32473,0.72293,1.05514,0.95525,0.94599,0.97454,0.95373,0.26739,0.40472,0.58497,0.000618586,0.000618586,0.000618586
15,400.567,0.3153,0.69333,1.04087,0.94262,0.92594,0.97602,0.96113,0.28455,0.41107,0.58778,0.000602092,0.000602092,0.000602092
16,423.625,0.30634,0.69067,1.03587,0.96466,0.92338,0.97641,0.96625,0.22022,0.46958,0.52611,0.000585599,0.000585599,0.000585599
