epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.9173,1.67444,3.64235,2.29626,0.01432,1,0.22198,0.1594,0.56016,3.18107,1.09641,0.0002695,0.0002695,0.0002695
2,20.7897,1.18633,2.93028,1.8226,0.00667,0.99375,0.35677,0.23958,1.26973,2.7315,1.76815,0.000543555,0.000543555,0.000543555
3,28.246,1.25279,2.45056,1.85121,0.52348,0.64172,0.60298,0.53634,0.50854,1.84916,0.73597,0.000813946,0.000813946,0.000813946
4,35.6995,1.12293,2.03137,1.72252,0.38833,0.42332,0.34344,0.17702,1.8923,3.07737,2.37602,0.000816507,0.000816507,0.000816507
5,43.0809,1.15159,1.95241,1.7661,0.3065,0.37072,0.28472,0.08588,2.90509,2.95719,3.62256,0.000811009,0.000811009,0.000811009
6,50.5199,1.07186,1.77441,1.66523,0.71362,0.74334,0.78422,0.6338,0.71419,1.49813,1.17007,0.000805511,0.000805511,0.000805511
7,57.9056,1.05497,1.69312,1.6613,0.76517,0.75428,0.83757,0.61633,0.91713,1.29289,1.32257,0.000800013,0.000800013,0.000800013
8,65.2476,1.0519,1.63965,1.65806,0.84626,0.57911,0.77615,0.6332,0.57178,1.43952,0.82501,0.000794515,0.000794515,0.000794515
9,72.5891,1.0032,1.53548,1.58422,0.83306,0.80883,0.89788,0.70403,0.73428,1.19244,1.1541,0.000789018,0.000789018,0.000789018
10,80.0385,0.98173,1.46847,1.59844,0.69958,0.74273,0.78183,0.52143,0.98787,1.47637,1.24871,0.00078352,0.00078352,0.00078352
11,87.3697,0.99074,1.45142,1.58569,0.87079,0.8685,0.90702,0.84753,0.42502,0.81008,0.62427,0.000778022,0.000778022,0.000778022
12,94.7255,0.95597,1.39122,1.56681,0.84802,0.84698,0.91717,0.79477,0.57731,0.84674,0.82789,0.000772524,0.000772524,0.000772524
13,102.122,0.90674,1.28043,1.53336,0.65197,0.80212,0.83715,0.65606,0.81496,1.29012,1.08315,0.000767026,0.000767026,0.000767026
14,109.533,0.92134,1.31825,1.52784,0.84551,0.83942,0.93384,0.78453,0.60857,0.85829,0.90184,0.000761529,0.000761529,0.000761529
15,116.886,0.93401,1.30464,1.53804,0.71949,0.76537,0.8601,0.72087,0.54185,1.39186,0.70296,0.000756031,0.000756031,0.000756031
16,124.239,0.89289,1.22285,1.51509,0.90875,0.82674,0.91517,0.80025,0.64305,0.89455,0.94464,0.000750533,0.000750533,0.000750533
17,131.56,0.88354,1.219,1.50595,0.87817,0.85181,0.88114,0.64878,0.89145,1.20414,1.32514,0.000745035,0.000745035,0.000745035
18,138.948,0.89098,1.20559,1.48113,0.90649,0.87855,0.95678,0.82803,0.6001,0.72848,0.86324,0.000739537,0.000739537,0.000739537
19,146.271,0.82156,1.08834,1.44896,0.89657,0.79606,0.91951,0.79127,0.5455,0.75446,0.80058,0.00073404,0.00073404,0.00073404
20,153.633,0.89567,1.1127,1.51606,0.85008,0.92218,0.94753,0.77375,0.63159,0.84515,0.92598,0.000728542,0.000728542,0.000728542
21,160.94,0.83561,1.1376,1.45885,0.76828,0.90017,0.92407,0.71123,0.87621,0.94897,1.34573,0.000723044,0.000723044,0.000723044
22,168.341,0.85688,1.06732,1.47055,0.87554,0.88902,0.93162,0.72416,0.76854,0.99961,1.19616,0.000717546,0.000717546,0.000717546
23,175.642,0.80564,1.03639,1.42456,0.86475,0.88982,0.92868,0.82326,0.5135,0.78656,0.74626,0.000712048,0.000712048,0.000712048
24,182.97,0.80343,0.99619,1.42633,0.9205,0.80797,0.93592,0.78382,0.68952,0.87254,0.89347,0.000706551,0.000706551,0.000706551
