epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.2451,1.67444,3.64235,2.29626,0.01432,1,0.22198,0.1594,0.56016,3.18107,1.09641,0.0002695,0.0002695,0.0002695
2,19.4454,1.1894,2.94212,1.82439,0.00813,1,0.33331,0.19316,1.62756,2.8291,1.94723,0.00054175,0.00054175,0.00054175
3,26.695,1.22769,2.42435,1.83449,0.54384,0.59493,0.55529,0.30825,1.18633,2.22165,1.58719,0.000808502,0.000808502,0.000808502
4,33.9476,1.14445,2.03608,1.73284,0.5677,0.63261,0.60096,0.42251,1.02003,3.0783,1.65078,0.00080826,0.00080826,0.00080826
5,41.2472,1.14906,1.92634,1.73833,0.55051,0.54202,0.53475,0.31966,1.51095,2.75952,2.01887,0.000800013,0.000800013,0.000800013
6,48.6692,1.05612,1.74027,1.65717,0.61175,0.70751,0.74573,0.47609,1.06498,1.78262,1.54361,0.000791767,0.000791767,0.000791767
7,55.7592,1.07881,1.69771,1.68156,0.58969,0.66941,0.63207,0.39328,1.32602,2.00116,1.46554,0.00078352,0.00078352,0.00078352
8,62.8188,1.00653,1.56366,1.61261,0.755,0.74438,0.77578,0.58131,0.8908,1.50953,1.29394,0.000775273,0.000775273,0.000775273
9,69.9001,0.98352,1.4913,1.5746,0.88928,0.78717,0.88516,0.75364,0.64749,1.13328,1.04591,0.000767026,0.000767026,0.000767026
10,77.149,0.96545,1.48084,1.57622,0.8499,0.87202,0.89613,0.75602,0.5928,1.01602,0.93937,0.00075878,0.00075878,0.00075878
11,84.2221,0.94956,1.45232,1.55992,0.63585,0.73063,0.71567,0.41674,1.40187,1.74432,1.75926,0.000750533,0.000750533,0.000750533
12,91.1749,0.95198,1.39289,1.56125,0.83299,0.72661,0.87457,0.68391,0.70814,1.12844,1.01099,0.000742286,0.000742286,0.000742286
13,98.0861,0.93025,1.29004,1.55166,0.70205,0.82295,0.90599,0.81372,0.4779,1.05064,0.73905,0.00073404,0.00073404,0.00073404
14,104.937,0.92256,1.31213,1.52894,0.88745,0.88217,0.92714,0.74509,0.68949,0.95715,1.02646,0.000725793,0.000725793,0.000725793
15,112.027,0.9095,1.25236,1.51041,0.81838,0.78226,0.84523,0.75827,0.538,1.13256,0.68202,0.000717546,0.000717546,0.000717546
16,119.814,0.87909,1.21462,1.49995,0.78364,0.83592,0.84889,0.68237,0.72705,1.01085,0.99911,0.000709299,0.000709299,0.000709299
17,127.295,0.86689,1.20026,1.49037,0.92805,0.80233,0.92492,0.72189,0.64281,1.14885,0.90322,0.000701053,0.000701053,0.000701053
