epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.7766,1.8231,3.70786,2.34746,0.00359,0.99306,0.19087,0.12751,0.93525,3.13958,1.49796,0.0002695,0.0002695,0.0002695
2,14.8245,1.18715,2.8506,1.79231,0.72484,0.22731,0.44917,0.28693,0.99489,2.40593,1.54907,0.00054175,0.00054175,0.00054175
3,19.4062,1.17051,2.36177,1.76537,0.59215,0.72974,0.71059,0.61829,0.47119,1.50666,0.79229,0.000808502,0.000808502,0.000808502
4,24.2818,1.10342,2.01232,1.70276,0.6816,0.67344,0.73459,0.45028,1.2314,1.5757,1.57602,0.00080826,0.00080826,0.00080826
5,28.6201,1.12253,1.90045,1.7195,0.64652,0.63319,0.7622,0.54924,1.02291,1.62589,1.16949,0.000800013,0.000800013,0.000800013
6,33.249,1.02645,1.70554,1.62291,0.77938,0.85164,0.8849,0.6423,0.86631,1.27323,1.2538,0.000791767,0.000791767,0.000791767
7,37.6367,1.05084,1.69477,1.65695,0.84495,0.87298,0.92135,0.77851,0.5551,0.9458,0.80059,0.00078352,0.00078352,0.00078352
8,42.0804,1.00539,1.59718,1.61811,0.85191,0.77957,0.8557,0.58035,1.10053,1.31494,1.26591,0.000775273,0.000775273,0.000775273
9,46.459,0.98734,1.50561,1.58236,0.88727,0.81508,0.87306,0.68774,0.74859,1.26506,1.0162,0.000767026,0.000767026,0.000767026
10,51.2671,1.01453,1.51439,1.61316,0.81807,0.86313,0.9326,0.76059,0.6831,1.11582,1.01304,0.00075878,0.00075878,0.00075878
11,55.6618,0.98351,1.46191,1.57486,0.90929,0.81823,0.93289,0.84883,0.43916,0.87577,0.64439,0.000750533,0.000750533,0.000750533
12,60.1713,0.98038,1.46178,1.57968,0.8279,0.84089,0.89433,0.77102,0.62707,1.02185,0.88159,0.000742286,0.000742286,0.000742286
13,65.0488,0.94093,1.35593,1.56363,0.87583,0.87457,0.94079,0.79153,0.62949,0.94347,0.88981,0.00073404,0.00073404,0.00073404
14,69.4266,0.9284,1.37993,1.53043,0.85332,0.82916,0.8829,0.81291,0.43909,0.95492,0.67724,0.000725793,0.000725793,0.000725793
15,74.0402,0.92564,1.30472,1.52551,0.87801,0.87833,0.9383,0.80164,0.65118,0.81498,1.00393,0.000717546,0.000717546,0.000717546
16,78.6598,0.90039,1.24062,1.5184,0.93655,0.82729,0.91483,0.83606,0.48725,0.91311,0.79589,0.000709299,0.000709299,0.000709299
17,83.0489,0.88046,1.23287,1.50187,0.90449,0.87688,0.93961,0.83337,0.48793,0.79108,0.81888,0.000701053,0.000701053,0.000701053
18,87.3905,0.89326,1.26209,1.50474,0.93111,0.83238,0.94181,0.86426,0.50203,0.78394,0.76095,0.000692806,0.000692806,0.000692806
19,91.7139,0.8446,1.14965,1.46338,0.89821,0.83025,0.94485,0.89343,0.37278,0.74061,0.60631,0.000684559,0.000684559,0.000684559
20,96.1236,0.90101,1.1712,1.5128,0.87066,0.8736,0.92804,0.8321,0.44046,0.85731,0.69785,0.000676313,0.000676313,0.000676313
21,100.427,0.82767,1.16972,1.44893,0.92556,0.90289,0.9553,0.81652,0.65401,0.78134,0.90014,0.000668066,0.000668066,0.000668066
22,104.776,0.83668,1.07517,1.46515,0.92981,0.87805,0.942,0.88878,0.4218,0.82458,0.65469,0.000659819,0.000659819,0.000659819
23,109.071,0.83319,1.08936,1.45452,0.92103,0.87743,0.93487,0.82748,0.48376,0.8656,0.80069,0.000651573,0.000651573,0.000651573
24,113.534,0.81873,1.06601,1.43848,0.94186,0.89366,0.95482,0.93729,0.35295,0.66571,0.56112,0.000643326,0.000643326,0.000643326
25,117.858,0.8067,1.02353,1.42613,0.89576,0.86017,0.92095,0.80692,0.53969,0.93024,0.76599,0.000635079,0.000635079,0.000635079
