category,Product_name,ASIN,Stars,Rating_count,Review_page,Current_price,Original_price,In_stock,Recent_purchase,Image
CPU,"SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Let us know  GEEKOM [2026 Ultra Quiet IT13 Mini PC Windows 11 Pro, with Intel i9-13900HK(Up to 5.4GHz) 32GB High-Speed RAM(Expandable, Not LPDDR) & 2TB NVMe SSD, 4K@120Hz Quad Display/Dual USB4 for Office Home ",B0F2H755G8,4.5 out of 5 stars,"(360) ",https://www.amazon.co.uk/sspa/click?ie=UTF8&spc=MTo3NDA5OTI0ODU4NjA2MDk4OjE3Njc3Njc0NDE6c3BfYXRmOjMwMDg0OTEyMDQxMzIzMjo6MDo6&url=%2FGEEKOM-2025-IT13-i9-13900HK-High-Speed%2Fdp%2FB0F2H755G8%2Fref%3Dsr_1_1_sspa%3Fcrid%3DB9S5FJM878Z8%26dib%3DeyJ2IjoiMSJ9.WjaQmsT6ikvy5ZMlDQjrDEYrt_hSl6bCHfaDJv7echPJCGN6XGO59sU6CErVaq9VjQuY2w7vaRj6Y9doHkE51oLCPix3s2opteBWCwt7HYltmHNw-f5EvIFKv_6o19fcrtLa4yhH44ZpjbJdw-A7DqDTf64mY0356tl2QZnu8eGe-GUiw_mOyMeDdkoZCP7ErOXEBDUpUBO60loC9GsiZNmZAdInU8Ixtn5fw4ZCJbI.AaWixxXR0pNMWzWkSGcsz7YU8SwebAExa6DiUavmAhM%26dib_tag%3Dse%26keywords%3DCPU%26qid%3D1767767441%26sprefix%3Dcpu%252Caps%252C233%26sr%3D8-1-spons%26aref%3DVcctZY64N9%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=VcctZY64N9&sp_cr=ZAZ#customerReviews,"MYR 4,313.83",,,4.5,https://m.media-amazon.com/images/I/71os2hNeyAL._AC_UY218_.jpg
CPU,"AMD RYZEN ™ 7 9800X 3D Desktop Processor (8-core/16-thread, 104MB cache, up to 5.2 GHz max boost) ",B0DKFMSMYK,4.8 out of 5 stars,"(3.9K) ",https://www.amazon.co.uk/AMD-TM-Desktop-Processor-16-thread/dp/B0DKFMSMYK/ref=sr_1_2?crid=B9S5FJM878Z8&dib=eyJ2IjoiMSJ9.WjaQmsT6ikvy5ZMlDQjrDEYrt_hSl6bCHfaDJv7echPJCGN6XGO59sU6CErVaq9VjQuY2w7vaRj6Y9doHkE51oLCPix3s2opteBWCwt7HYltmHNw-f5EvIFKv_6o19fcrtLa4yhH44ZpjbJdw-A7DqDTf64mY0356tl2QZnu8eGe-GUiw_mOyMeDdkoZCP7ErOXEBDUpUBO60loC9GsiZNmZAdInU8Ixtn5fw4ZCJbI.AaWixxXR0pNMWzWkSGcsz7YU8SwebAExa6DiUavmAhM&dib_tag=se&keywords=CPU&qid=1767767441&sprefix=cpu%2Caps%2C233&sr=8-2#customerReviews,"MYR 2,189.87","MYR 2,469.73",,1K+ bought in past month,https://m.media-amazon.com/images/I/71aHvYUgX1L._AC_UY218_.jpg
CPU,"AMD Ryzensets 7 5800X Processor (8 Cores/16 threads, 105W TDP, AM4 socket, 36 MB Cache, 4,7Ghz max boost frequency, no cooler) ",B0815XFSGK,4.7 out of 5 stars,"(101K) ",https://www.amazon.co.uk/AMD-RyzenTM-5800X-Desktop-Processor/dp/B0815XFSGK/ref=sr_1_3?crid=B9S5FJM878Z8&dib=eyJ2IjoiMSJ9.WjaQmsT6ikvy5ZMlDQjrDEYrt_hSl6bCHfaDJv7echPJCGN6XGO59sU6CErVaq9VjQuY2w7vaRj6Y9doHkE51oLCPix3s2opteBWCwt7HYltmHNw-f5EvIFKv_6o19fcrtLa4yhH44ZpjbJdw-A7DqDTf64mY0356tl2QZnu8eGe-GUiw_mOyMeDdkoZCP7ErOXEBDUpUBO60loC9GsiZNmZAdInU8Ixtn5fw4ZCJbI.AaWixxXR0pNMWzWkSGcsz7YU8SwebAExa6DiUavmAhM&dib_tag=se&keywords=CPU&qid=1767767441&sprefix=cpu%2Caps%2C233&sr=8-3#customerReviews,"MYR 1,037.31",,,1K+ bought in past month,https://m.media-amazon.com/images/I/61IIbwz-+ML._AC_UY218_.jpg
CPU,"AMD Ryzen 5 5500 Processor (6 cores/12 threads, 65W DTP, AM4 socket, 19 MB cache, up to 4.2 GHz max boost, wraith stealth cooler) ",B09VCJ171S,4.7 out of 5 stars,"(101K) ",https://www.amazon.co.uk/AMD-Ryzen-5500-Processor-12-thread/dp/B09VCJ171S/ref=sr_1_4?crid=B9S5FJM878Z8&dib=eyJ2IjoiMSJ9.WjaQmsT6ikvy5ZMlDQjrDEYrt_hSl6bCHfaDJv7echPJCGN6XGO59sU6CErVaq9VjQuY2w7vaRj6Y9doHkE51oLCPix3s2opteBWCwt7HYltmHNw-f5EvIFKv_6o19fcrtLa4yhH44ZpjbJdw-A7DqDTf64mY0356tl2QZnu8eGe-GUiw_mOyMeDdkoZCP7ErOXEBDUpUBO60loC9GsiZNmZAdInU8Ixtn5fw4ZCJbI.AaWixxXR0pNMWzWkSGcsz7YU8SwebAExa6DiUavmAhM&dib_tag=se&keywords=CPU&qid=1767767441&sprefix=cpu%2Caps%2C233&sr=8-4#customerReviews,MYR 493.79,,,500+ bought in past month,https://m.media-amazon.com/images/I/51So7GoGvxL._AC_UY218_.jpg
CPU,"GEEKOM [2026 Ultra Quiet IT13 Mini PC Windows 11 Pro, with Intel i9-13900HK(Up to 5.4GHz) 32GB High-Speed RAM(Expandable, Not LPDDR) & 2TB NVMe SSD, 4K@120Hz Quad Display/Dual USB4 for Office Home ",B0F2H755G8,4.5 out of 5 stars,"(360) ",https://www.amazon.co.uk/sspa/click?ie=UTF8&spc=MTo0NTgzNzE0Njk3NzAzMTQxOjE3Njc3Njc0NDE6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDY0MjQ2MTk0MTYzMjo6MDo6&url=%2FGEEKOM-2025-IT13-i9-13900HK-High-Speed%2Fdp%2FB0F2H755G8%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.277dba58-a016-4930-bc9e-9e4affedc57d%253Aamzn1.sym.277dba58-a016-4930-bc9e-9e4affedc57d%26crid%3DB9S5FJM878Z8%26cv_ct_cx%3DCPU%26keywords%3DCPU%26pd_rd_i%3DB0F2H755G8%26pd_rd_r%3D45880648-9329-4435-ba3b-7c67c86a607e%26pd_rd_w%3DR2DLe%26pd_rd_wg%3DxJFO9%26pf_rd_p%3D277dba58-a016-4930-bc9e-9e4affedc57d%26pf_rd_r%3DKCTHV5GYYN4BGPKQ59R6%26qid%3D1767767441%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dcpu%252Caps%252C233%26sr%3D1-1-fd3c5e6b-a8f7-4e24-85ab-454044c653b9-spons%26aref%3DSTjdyzyGQt%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1&aref=STjdyzyGQt&sp_cr=ZAZ#customerReviews,"MYR 4,301.02",,,4.5,https://m.media-amazon.com/images/I/71os2hNeyAL._AC_UL320_.jpg
CPU,"NZXT Kraken Elite 240 RGB - AIO CPU Liquid Cooler - 240mm Radiator - F240 RGB Core Fan - Customizable 2.72"" IPS LCD - NZXT Turbine Pump - Intel® LGA 1700, 1200/115X, 1851 - AMD® AM5, AM4 - White ",B0DCFNKXKY,4.4 out of 5 stars,"(1.4K) ",https://www.amazon.co.uk/sspa/click?ie=UTF8&spc=MTo0NTgzNzE0Njk3NzAzMTQxOjE3Njc3Njc0NDE6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDgzMzIyNTk5NzkzMjo6MTo6&url=%2FNZXT-Kraken-Elite-240-RGB%2Fdp%2FB0DCFNKXKY%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.277dba58-a016-4930-bc9e-9e4affedc57d%253Aamzn1.sym.277dba58-a016-4930-bc9e-9e4affedc57d%26crid%3DB9S5FJM878Z8%26cv_ct_cx%3DCPU%26keywords%3DCPU%26pd_rd_i%3DB0DCFNKXKY%26pd_rd_r%3D45880648-9329-4435-ba3b-7c67c86a607e%26pd_rd_w%3DR2DLe%26pd_rd_wg%3DxJFO9%26pf_rd_p%3D277dba58-a016-4930-bc9e-9e4affedc57d%26pf_rd_r%3DKCTHV5GYYN4BGPKQ59R6%26qid%3D1767767441%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dcpu%252Caps%252C233%26sr%3D1-2-fd3c5e6b-a8f7-4e24-85ab-454044c653b9-spons%26aref%3D8u9K3b5fm2%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1&aref=8u9K3b5fm2&sp_cr=ZAZ#customerReviews,"MYR 1,039.53","MYR 1,258.53",,4.4,https://m.media-amazon.com/images/I/41Hqtj7djNL._AC_UL320_.jpg
CPU,"ACEMAGICIAN Kron Mini K1 Mini PC Windows 11 Pro, AMD Ryzen 5 7430U(6C/12T, up to 4.3GHz), 60Hz 4K 3 Display Mini Computer, AMD Radeon Graphics, 16GB RAM 512GB M.2 SSD,Wi-Fi6/BT5.2 for Office/Business ",B0CMXRL4FM,4.2 out of 5 stars,"(275) ",https://www.amazon.co.uk/sspa/click?ie=UTF8&spc=MTo0NTgzNzE0Njk3NzAzMTQxOjE3Njc3Njc0NDE6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDg4NzMyNjAwMjEzMjo6Mjo6&url=%2FACEMAGICIAN-Windows-Computer-Graphics-Business%2Fdp%2FB0CMXRL4FM%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.277dba58-a016-4930-bc9e-9e4affedc57d%253Aamzn1.sym.277dba58-a016-4930-bc9e-9e4affedc57d%26crid%3DB9S5FJM878Z8%26cv_ct_cx%3DCPU%26keywords%3DCPU%26pd_rd_i%3DB0CMXRL4FM%26pd_rd_r%3D45880648-9329-4435-ba3b-7c67c86a607e%26pd_rd_w%3DR2DLe%26pd_rd_wg%3DxJFO9%26pf_rd_p%3D277dba58-a016-4930-bc9e-9e4affedc57d%26pf_rd_r%3DKCTHV5GYYN4BGPKQ59R6%26qid%3D1767767441%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dcpu%252Caps%252C233%26sr%3D1-3-fd3c5e6b-a8f7-4e24-85ab-454044c653b9-spons%26aref%3DRZDczXYyr7%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1&aref=RZDczXYyr7&sp_cr=ZAZ#customerReviews,"MYR 1,422.64","MYR 2,079.34",,4.2,https://m.media-amazon.com/images/I/51BNF+IFsNL._AC_UL320_.jpg
CPU,"GEEKOM A6 Mini PC Windows 11 Pro, with AMD Ryzen 7 6800 (Up to 4.7GHz), 16GB DDR5 RAM (Expandable, Not LPDDR) & 512GB PCIe 4.0 SSD, USB4(40Gbps) & Dual HDMI Quad Display/WiFi 6E for Home/Office/Gaming ",B0F8BMFDZ8,4.6 out of 5 stars,"(514) ",https://www.amazon.co.uk/sspa/click?ie=UTF8&spc=MTo0NTgzNzE0Njk3NzAzMTQxOjE3Njc3Njc0NDE6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDgyMzk3NzI5OTYzMjo6Mzo6&url=%2FGEEKOM-A6-Windows-Expandable-Display%2Fdp%2FB0F8BMFDZ8%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.277dba58-a016-4930-bc9e-9e4affedc57d%253Aamzn1.sym.277dba58-a016-4930-bc9e-9e4affedc57d%26crid%3DB9S5FJM878Z8%26cv_ct_cx%3DCPU%26keywords%3DCPU%26pd_rd_i%3DB0F8BMFDZ8%26pd_rd_r%3D45880648-9329-4435-ba3b-7c67c86a607e%26pd_rd_w%3DR2DLe%26pd_rd_wg%3DxJFO9%26pf_rd_p%3D277dba58-a016-4930-bc9e-9e4affedc57d%26pf_rd_r%3DKCTHV5GYYN4BGPKQ59R6%26qid%3D1767767441%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dcpu%252Caps%252C233%26sr%3D1-4-fd3c5e6b-a8f7-4e24-85ab-454044c653b9-spons%26aref%3DhjjwViyUH1%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1&aref=hjjwViyUH1&sp_cr=ZAZ#customerReviews,"MYR 2,511.64",,,4.6,https://m.media-amazon.com/images/I/71ieg5e1WEL._AC_UL320_.jpg
CPU,"Cooler Master MasterLiquid 240L Core ARGB CPU Liquid Cooler - Dual Chamber Gen S Pump, Superior Radiator and 120 mm ARGB Fans, LGA 1700 and AM5 Brackets - Black ",B0C1C68DYP,4.6 out of 5 stars,"(1.8K) ",https://www.amazon.co.uk/sspa/click?ie=UTF8&spc=MTo0NTgzNzE0Njk3NzAzMTQxOjE3Njc3Njc0NDE6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDgzMzI0Mjc4NDYzMjo6NDo6&url=%2FCooler-Master-MasterLiquid-240L-Liquid%2Fdp%2FB0C1C68DYP%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.277dba58-a016-4930-bc9e-9e4affedc57d%253Aamzn1.sym.277dba58-a016-4930-bc9e-9e4affedc57d%26crid%3DB9S5FJM878Z8%26cv_ct_cx%3DCPU%26keywords%3DCPU%26pd_rd_i%3DB0C1C68DYP%26pd_rd_r%3D45880648-9329-4435-ba3b-7c67c86a607e%26pd_rd_w%3DR2DLe%26pd_rd_wg%3DxJFO9%26pf_rd_p%3D277dba58-a016-4930-bc9e-9e4affedc57d%26pf_rd_r%3DKCTHV5GYYN4BGPKQ59R6%26qid%3D1767767441%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dcpu%252Caps%252C233%26sr%3D1-5-fd3c5e6b-a8f7-4e24-85ab-454044c653b9-spons%26aref%3DZrRBEZcKIG%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1&aref=ZrRBEZcKIG&sp_cr=ZAZ#customerReviews,MYR 382.77,,,4.6,https://m.media-amazon.com/images/I/61WdPN8tH4L._AC_UL320_.jpg
CPU,"AMD Ryzensets 7 7800X3D Processor with 3D V Cache technology (integrated Radeon Graphics, 8 cores/16 threads, 120W TDP, AM5 Socket, 104MB cache, up to 5.0 GHz max boost, no cooler) ",B0BTZB7F88,4.7 out of 5 stars,"(25.7K) ",https://www.amazon.co.uk/AMD-7800X3D-Desk-top-Processor-16-thread/dp/B0BTZB7F88/ref=sr_1_5?crid=B9S5FJM878Z8&dib=eyJ2IjoiMSJ9.WjaQmsT6ikvy5ZMlDQjrDEYrt_hSl6bCHfaDJv7echPJCGN6XGO59sU6CErVaq9VjQuY2w7vaRj6Y9doHkE51oLCPix3s2opteBWCwt7HYltmHNw-f5EvIFKv_6o19fcrtLa4yhH44ZpjbJdw-A7DqDTf64mY0356tl2QZnu8eGe-GUiw_mOyMeDdkoZCP7ErOXEBDUpUBO60loC9GsiZNmZAdInU8Ixtn5fw4ZCJbI.AaWixxXR0pNMWzWkSGcsz7YU8SwebAExa6DiUavmAhM&dib_tag=se&keywords=CPU&qid=1767767441&sprefix=cpu%2Caps%2C233&sr=8-5#customerReviews,"MYR 1,953.87","MYR 2,469.73",,500+ bought in past month,https://m.media-amazon.com/images/I/51HqC0rU9HL._AC_UY218_.jpg
