category,brand,model,search_text,raw_name,raw_keyword
cpu,Intel,"i9-13900HK(Up to 5.4GHz) 32GB High-Speed RAM(Expandable, Not LPDDR) & 2TB NVMe SSD, 4K@120Hz Quad Display/Dual USB4 for Office Home","cpu Intel i9-13900HK(Up to 5.4GHz) 32GB High-Speed RAM(Expandable, Not LPDDR) & 2TB NVMe SSD, 4K@120Hz Quad Display/Dual USB4 for Office Home SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Let us know GEEKOM [2026 Ultra Quiet IT13 Mini PC Windows 11 Pro, with Intel i9-13900HK(Up to 5.4GHz) 32GB High-Speed RAM(Expandable, Not LPDDR) & 2TB NVMe SSD, 4K@120Hz Quad Display/Dual USB4 for Office Home","SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Let us know  GEEKOM [2026 Ultra Quiet IT13 Mini PC Windows 11 Pro, with Intel i9-13900HK(Up to 5.4GHz) 32GB High-Speed RAM(Expandable, Not LPDDR) & 2TB NVMe SSD, 4K@120Hz Quad Display/Dual USB4 for Office Home ",CPU
cpu,AMD,"RYZEN ™ 7 9800X 3D Desktop Processor (8-core/16-thread, 104MB cache, up to 5.2 GHz max boost)","cpu AMD RYZEN ™ 7 9800X 3D Desktop Processor (8-core/16-thread, 104MB cache, up to 5.2 GHz max boost) AMD RYZEN ™ 7 9800X 3D Desktop Processor (8-core/16-thread, 104MB cache, up to 5.2 GHz max boost)","AMD RYZEN ™ 7 9800X 3D Desktop Processor (8-core/16-thread, 104MB cache, up to 5.2 GHz max boost) ",CPU
cpu,Intel,"i9-13900HK(Up to 5.4GHz) 32GB High-Speed RAM(Expandable, Not LPDDR) & 2TB NVMe SSD, 4K@120Hz Quad Display/Dual USB4 for Office Home","cpu Intel i9-13900HK(Up to 5.4GHz) 32GB High-Speed RAM(Expandable, Not LPDDR) & 2TB NVMe SSD, 4K@120Hz Quad Display/Dual USB4 for Office Home GEEKOM [2026 Ultra Quiet IT13 Mini PC Windows 11 Pro, with Intel i9-13900HK(Up to 5.4GHz) 32GB High-Speed RAM(Expandable, Not LPDDR) & 2TB NVMe SSD, 4K@120Hz Quad Display/Dual USB4 for Office Home","GEEKOM [2026 Ultra Quiet IT13 Mini PC Windows 11 Pro, with Intel i9-13900HK(Up to 5.4GHz) 32GB High-Speed RAM(Expandable, Not LPDDR) & 2TB NVMe SSD, 4K@120Hz Quad Display/Dual USB4 for Office Home ",CPU
cpu,AMD,"Ryzen 7 6800 (Up to 4.7GHz), 16GB DDR5 RAM (Expandable, Not LPDDR) & 512GB PCIe 4.0 SSD, USB4(40Gbps) & Dual HDMI Quad Display/WiFi 6E for Home/Office/Gaming","cpu AMD Ryzen 7 6800 (Up to 4.7GHz), 16GB DDR5 RAM (Expandable, Not LPDDR) & 512GB PCIe 4.0 SSD, USB4(40Gbps) & Dual HDMI Quad Display/WiFi 6E for Home/Office/Gaming GEEKOM A6 Mini PC Windows 11 Pro, with AMD Ryzen 7 6800 (Up to 4.7GHz), 16GB DDR5 RAM (Expandable, Not LPDDR) & 512GB PCIe 4.0 SSD, USB4(40Gbps) & Dual HDMI Quad Display/WiFi 6E for Home/Office/Gaming","GEEKOM A6 Mini PC Windows 11 Pro, with AMD Ryzen 7 6800 (Up to 4.7GHz), 16GB DDR5 RAM (Expandable, Not LPDDR) & 512GB PCIe 4.0 SSD, USB4(40Gbps) & Dual HDMI Quad Display/WiFi 6E for Home/Office/Gaming ",CPU
cpu,AMD,"Ryzen 5 5600XT Processor, 6 Cores/12 Unbridled Threads, Zen Architecture 4, 35MB Cache, 65W TDP, Up to 4.7GHz Frequency Boost, Socket AM4, with Wraith Stealth Fan","cpu AMD Ryzen 5 5600XT Processor, 6 Cores/12 Unbridled Threads, Zen Architecture 4, 35MB Cache, 65W TDP, Up to 4.7GHz Frequency Boost, Socket AM4, with Wraith Stealth Fan AMD Ryzen 5 5600XT Processor, 6 Cores/12 Unbridled Threads, Zen Architecture 4, 35MB Cache, 65W TDP, Up to 4.7GHz Frequency Boost, Socket AM4, with Wraith Stealth Fan","AMD Ryzen 5 5600XT Processor, 6 Cores/12 Unbridled Threads, Zen Architecture 4, 35MB Cache, 65W TDP, Up to 4.7GHz Frequency Boost, Socket AM4, with Wraith Stealth Fan ",CPU
cpu,AMD,"Ryzen 7 6800 (Up to 4.7GHz), 16GB DDR5 RAM (Expandable, Not LPDDR) & 512GB PCIe 4.0 SSD, USB4(40Gbps) & Dual HDMI Quad Display/WiFi 6E for Home/Office/Gaming","cpu AMD Ryzen 7 6800 (Up to 4.7GHz), 16GB DDR5 RAM (Expandable, Not LPDDR) & 512GB PCIe 4.0 SSD, USB4(40Gbps) & Dual HDMI Quad Display/WiFi 6E for Home/Office/Gaming SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Let us know GEEKOM A6 Mini PC Windows 11 Pro, with AMD Ryzen 7 6800 (Up to 4.7GHz), 16GB DDR5 RAM (Expandable, Not LPDDR) & 512GB PCIe 4.0 SSD, USB4(40Gbps) & Dual HDMI Quad Display/WiFi 6E for Home/Office/Gaming","SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Let us know  GEEKOM A6 Mini PC Windows 11 Pro, with AMD Ryzen 7 6800 (Up to 4.7GHz), 16GB DDR5 RAM (Expandable, Not LPDDR) & 512GB PCIe 4.0 SSD, USB4(40Gbps) & Dual HDMI Quad Display/WiFi 6E for Home/Office/Gaming ",CPU
cpu,Intel,"U9-285H (Up to 5.4GHz), 32GB DDR5 RAM (Expandable, Not LPDDR) & 2TB NVMe SSD, 4K@120Hz Quad Display/Dual USB4/Wi-Fi 7 for Home Office","cpu Intel U9-285H (Up to 5.4GHz), 32GB DDR5 RAM (Expandable, Not LPDDR) & 2TB NVMe SSD, 4K@120Hz Quad Display/Dual USB4/Wi-Fi 7 for Home Office SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Let us know GEEKOM [99TOPS AI Power IT15 Mini PC Windows 11 Pro, with Intel U9-285H (Up to 5.4GHz), 32GB DDR5 RAM (Expandable, Not LPDDR) & 2TB NVMe SSD, 4K@120Hz Quad Display/Dual USB4/Wi-Fi 7 for Home Office","SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Let us know  GEEKOM [99TOPS AI Power IT15 Mini PC Windows 11 Pro, with Intel U9-285H (Up to 5.4GHz), 32GB DDR5 RAM (Expandable, Not LPDDR) & 2TB NVMe SSD, 4K@120Hz Quad Display/Dual USB4/Wi-Fi 7 for Home Office ",CPU
cpu,AMD,"Ryzen™ 9 9950X3D Processor With 3D V-Cache™ Technology, 16 Cores/32 Threads, 144MB Cache, 170W TDP, AM5 Socket, Up To 5.7 GHz Boost Frequency, DDR5 & PCIe 5.0","cpu AMD Ryzen™ 9 9950X3D Processor With 3D V-Cache™ Technology, 16 Cores/32 Threads, 144MB Cache, 170W TDP, AM5 Socket, Up To 5.7 GHz Boost Frequency, DDR5 & PCIe 5.0 AMD Ryzen™ 9 9950X3D Processor With 3D V-Cache™ Technology, 16 Cores/32 Threads, 144MB Cache, 170W TDP, AM5 Socket, Up To 5.7 GHz Boost Frequency, DDR5 & PCIe 5.0","AMD Ryzen™ 9 9950X3D Processor With 3D V-Cache™ Technology, 16 Cores/32 Threads, 144MB Cache, 170W TDP, AM5 Socket, Up To 5.7 GHz Boost Frequency, DDR5 & PCIe 5.0 ",CPU
cpu,AMD,Ryzen 1.35V UDIMM 288 Pin Unbuffered Non ECC High Performance Gaming Desktop Memory - Black,cpu AMD Ryzen 1.35V UDIMM 288 Pin Unbuffered Non ECC High Performance Gaming Desktop Memory - Black 【DDR4 RAM】GIGASTONE Game PRO 16GB Kit (2x8GB) DDR4 3200MHz PC4-25600 CL 16-18-18-40 Intel XMP 2.0 AMD Ryzen 1.35V UDIMM 288 Pin Unbuffered Non ECC High Performance Gaming Desktop Memory - Black,【DDR4 RAM】GIGASTONE Game PRO 16GB Kit (2x8GB) DDR4 3200MHz PC4-25600 CL 16-18-18-40 Intel XMP 2.0 AMD Ryzen 1.35V UDIMM 288 Pin Unbuffered Non ECC High Performance Gaming Desktop Memory - Black ,CPU
cpu,Intel,"i9-13900HK(Up to 5.4GHz) 32GB High-Speed RAM(Expandable, Not LPDDR) & 2TB NVMe SSD, 4K@120Hz Quad Display/Dual USB4 for Office Home","cpu Intel i9-13900HK(Up to 5.4GHz) 32GB High-Speed RAM(Expandable, Not LPDDR) & 2TB NVMe SSD, 4K@120Hz Quad Display/Dual USB4 for Office Home GEEKOM [2026 Ultra Quiet IT13 Mini PC Windows 11 Pro, with Intel i9-13900HK(Up to 5.4GHz) 32GB High-Speed RAM(Expandable, Not LPDDR) & 2TB NVMe SSD, 4K@120Hz Quad Display/Dual USB4 for Office Home","GEEKOM [2026 Ultra Quiet IT13 Mini PC Windows 11 Pro, with Intel i9-13900HK(Up to 5.4GHz) 32GB High-Speed RAM(Expandable, Not LPDDR) & 2TB NVMe SSD, 4K@120Hz Quad Display/Dual USB4 for Office Home ",CPU
